InstrumentID,Ticker,PriceSource
1702,SAH,NASDAQ
1703,HDS,NASDAQ
1704,CHTR,NASDAQ
1705,CCK,NASDAQ
1706,AMAT,NASDAQ
1707,CBRE,NASDAQ
1708,AVP,NASDAQ
1709,RSG,NASDAQ
1710,UHS,NASDAQ
1711,DRI,NASDAQ
1712,STLD,NASDAQ
1713,STI,NASDAQ
1714,CZRdel,NASDAQ
1715,TRGP,NASDAQ
1716,DLTR,NASDAQ
1717,NWSA,NASDAQ
1718,BALL,NASDAQ
1719,MAS,NASDAQ
1720,BEN,NASDAQ
1721,RAI,NASDAQ
1722,BDX,NASDAQ
1723,BRCM,NASDAQ
1724,CA151.L,LSE PLC
1725,CPB,NASDAQ
1726,ACM,NASDAQ
1727,VC,NASDAQ
1728,DK,NASDAQ
1729,DOV,NASDAQ
1730,BWA,NASDAQ
1731,JAH,NASDAQ
1732,UGI,NASDAQ
1733,MUR,NASDAQ
1734,PVH,NASDAQ
1735,CORE,NASDAQ
1736,CPN,NASDAQ
1737,DHI,NASDAQ
1738,WY,NASDAQ
1739,KKR,NASDAQ
1740,FTI,NASDAQ
1741,SPTN,NASDAQ
1742,WCC,NASDAQ
1743,PWR,NASDAQ
1744,MHK,NASDAQ
1745,LEN,NASDAQ
1746,TA,NASDAQ
1747,SEE,NASDAQ
1748,ES,NASDAQ
1749,CCEP,NASDAQ
1750,ASH,NASDAQ
1751,IPG,NASDAQ
1752,BX,NASDAQ
1753,DGX,NASDAQ
1754,CA152.L,LSE PLC
1755,CA153.L,LSE PLC
1756,CA154.L,LSE PLC
1757,NEM,NASDAQ
1758,ORLY,NASDAQ
1759,CASY,NASDAQ
1760,CMS,NASDAQ
1761,FL,NASDAQ
1763,CMC,NASDAQ
1764,A,NASDAQ
1765,HII,NASDAQ
1766,LYV,NASDAQ
1767,DKS,NASDAQ
1768,OSK,NASDAQ
1769,CE,NASDAQ
1770,SPR,NASDAQ
1771,UNFI,NASDAQ
1772,BTU_old,NASDAQ
1773,OI,NASDAQ
1774,DDS,NASDAQ
1775,LVLT,NASDAQ
1776,LKQ,NASDAQ
1777,GEN,NASDAQ
1778,BPL,NASDAQ
1779,R,NASDAQ
1780,ROK,NASDAQ
1781,DAN,NASDAQ
1782,VYX,NASDAQ
1783,EXPD,NASDAQ
1784,CA155.L,LSE PLC
1785,AKS,NASDAQ
1786,FITB,NASDAQ
1788,NI,NASDAQ
1789,CVC_old,NASDAQ
1790,AXE,NASDAQ
1791,EME,NASDAQ
1792,FIS,NASDAQ
1793,BKS,NASDAQ
1794,KBR,NASDAQ
1795,AVY,NASDAQ
1796,NTAP,NASDAQ
1797,CA156.L,LSE PLC
1798,DISCA,NASDAQ
1799,SANM,NASDAQ
1800,CA157.L,LSE PLC
1801,JBHT,NASDAQ
1802,SCHW,NASDAQ
1803,AEE,NASDAQ
1804,MAT,NASDAQ
1805,LH,NASDAQ
1806,HOT,NASDAQ
1807,BGC.OLD,NASDAQ
1808,AMRI,NASDAQ
1809,SPB,NASDAQ
1811,SE.delisted,NASDAQ
1812,ABG,NASDAQ
1813,PKG,NASDAQ
1815,PHM,NASDAQ
1816,JBLU,NASDAQ
1817,NWL,NASDAQ
1818,CA158.L,LSE PLC
1819,CLMT,NASDAQ
1820,EXPE,NASDAQ
1821,AFG,NASDAQ
1822,URI,NASDAQ
1823,INGR,NASDAQ
1824,NAVI,NASDAQ
1825,CA159.L,LSE PLC
1826,STJ,NASDAQ
1827,SJM,NASDAQ
1828,CLX,NASDAQ
1831,ORI,NASDAQ
1832,AMD,NASDAQ
1833,BAH,NASDAQ
1834,IQV,NASDAQ
1835,WYNN,NASDAQ
1836,JLL,NASDAQ
1837,RF,NASDAQ
1838,LAD,NASDAQ
1839,CRM,NASDAQ
1840,ALK,NASDAQ
1841,HST,NASDAQ
1842,HAR,NASDAQ
1843,APH,NASDAQ
1844,HOUS,NASDAQ
1845,ESND,NASDAQ
1846,HBI,NASDAQ
1847,KND,NASDAQ
1848,ARRS,NASDAQ
1850,LPNT,NASDAQ
1851,PXD,NASDAQ
1852,TNL,NASDAQ
1853,OC,NASDAQ
1854,Y,NASDAQ
1855,SPGI,NASDAQ
1856,BIGGQ,NASDAQ
1857,NTI,NASDAQ
1858,MKL,NASDAQ
1859,LDOS,NASDAQ
1860,COL,NASDAQ
1861,CA160.L,LSE PLC
1864,THG,NASDAQ
1865,FI,NASDAQ
1866,ABM,NASDAQ
1867,SON,NASDAQ
1868,LHX,NASDAQ
1869,TDS,NASDAQ
1870,WEC,NASDAQ
1872,RJF,NASDAQ
1873,BERY,NASDAQ
1874,SCG,NASDAQ
1875,CINF,NASDAQ
1876,ATO,NASDAQ
1877,POM,NASDAQ
1878,FLS,NASDAQ
1879,SPG,NASDAQ
1881,BURL,NASDAQ
1882,BMS,NASDAQ
1883,TPR,NASDAQ
1884,CLR,NASDAQ
1885,ASNA,NASDAQ
1886,Z,NASDAQ
1887,OA,NASDAQ
1888,FTR,NASDAQ
1890,CF,NASDAQ
1891,MIK,NASDAQ
1892,MTB,NASDAQ
1893,RUSHB_old,NASDAQ
1894,GMCR,NASDAQ
1895,SPN,NASDAQ
1896,WSM,NASDAQ
1897,RHI,NASDAQ
1898,FAF,NASDAQ
1899,CA161.L,LSE PLC
1900,MDU,NASDAQ
1901,JNPR,NASDAQ
1902,AJG,NASDAQ
1903,ENOV,NASDAQ
1905,MTZ,NASDAQ
1906,LRCX,NASDAQ
1907,AXLL,NASDAQ
1909,CTAS,NASDAQ
1910,COTY,NASDAQ
1911,ANDE,NASDAQ
1912,VAL,NASDAQ
1913,NTRS,NASDAQ
1914,INTU,NASDAQ
1915,TPC,NASDAQ
1916,PII,NASDAQ
1917,RACE,NASDAQ
1918,NVR,NASDAQ
1919,FWONA,NASDAQ
1920,ENR,NASDAQ
1921,BLMN,NASDAQ
1922,WLK,NASDAQ
1923,H,NASDAQ
1924,MJN,NASDAQ
1925,EVHC,NASDAQ
1926,FBIN,NASDAQ
1927,RPM,NASDAQ
1928,VWR,NASDAQ
1930,KEY,NASDAQ
1931,KNX,NASDAQ
1932,AGN,NASDAQ
1933,HAS,NASDAQ
1934,RFP,NASDAQ
1935,TIF,NASDAQ
1936,MKC,NASDAQ
1937,GPK,NASDAQ
1938,GEF,NASDAQ
1939,ATI,NASDAQ
1940,BEAV,NASDAQ
1941,TAP,NASDAQ
1942,CA162.L,LSE PLC
1943,CNO,NASDAQ
1945,CMG,NASDAQ
1946,AMT,NASDAQ
1947,CA164.L,LSE PLC
1948,AFSI,NASDAQ
1949,BC,NASDAQ
1950,PDCO,NASDAQ
1951,SWN,NASDAQ
1952,AME,NASDAQ
1953,TROW,NASDAQ
1954,GL,NASDAQ
1955,DAR,NASDAQ
1956,LEG,NASDAQ
1957,WSO,NASDAQ
1958,CEQP,NASDAQ
1959,XYL,NASDAQ
1960,SLGN,NASDAQ
1961,TOL,NASDAQ
1962,MTW,NASDAQ
1963,ARGO,NASDAQ
1964,ARG,NASDAQ
1965,GNC,NASDAQ
1966,MAR,NASDAQ
1967,SQ,NASDAQ
1968,MTCH,NASDAQ
1969,SEDG,NASDAQ
1970,FIT,NASDAQ
1971,NTDOY,NASDAQ
1972,REGN,NASDAQ
1973,SGMO,NASDAQ
1974,NTLA,NASDAQ
1975,EDIT,NASDAQ
1976,MS,NASDAQ
1977,CLLS,NASDAQ
1978,RMS.PA,Xignite
1979,SNAP,NASDAQ
1980,EVO.ST,Xignite
1981,ATCO-B.ST,Xignite
1982,SINCH.ST,Xignite
1983,SKF-B.ST,Xignite
1984,ELUXB.ST,Xignite
1985,SCAB.ST,Xignite
1986,KINVB.ST,Xignite
1987,BETSB.ST,Xignite
1988,IBCK.DE11,Xignite
1989,SOI.PA,Xignite
1990,SXRG.DE11,Xignite
1991,SXR7.DE11,Xignite
1992,EUN0.DE11,Xignite
1993,ACLN.ZU,Xignite
1994,LISP.ZU,Xignite
1995,DBK.DE,Xetra
1996,CARLB.CO,Xignite
1997,NOD.OL,Xignite
1998,MPCC.OL,Xignite
1999,SXR2.DE11,Xignite
2000,AAL.L,LSE PLC
2001,ABF.L,LSE PLC
2002,ADM.L,LSE PLC
2003,ADN.L,LSE PLC
2004,AGK.L,LSE PLC
2005,AHT.L,LSE PLC
2006,AMFW.L,LSE PLC
2007,ANTO.L,LSE PLC
2008,ARM.L,LSE PLC
2009,AV.L,LSE PLC
2010,AZN.L,LSE PLC
2011,BA.old,LSE PLC
2012,BAB.L,LSE PLC
2013,BARC.L,LSE PLC
2014,BATS.L,LSE PLC
2015,BG.L,LSE PLC
2016,BLND.L,LSE PLC
2017,BHP.L,LSE PLC
2018,BNZL.L,LSE PLC
2019,BP.L,LSE PLC
2020,BRBY.L,LSE PLC
2021,SKY.L,LSE PLC
2022,BT.L,LSE PLC
2023,CCH.L,LSE PLC
2024,CCL.L,LSE PLC
2025,CNA.L,LSE PLC
2026,CPG.L,LSE PLC
2027,CPI.L,LSE PLC
2028,CRH.old,LSE PLC
2029,DGE.L,LSE PLC
2030,EXPN.L,LSE PLC
2031,EZJ.L,LSE PLC
2032,FRES.L,LSE PLC
2033,GFS.L,LSE PLC
2034,GKN.L,LSE PLC
2035,GLEN.L,LSE PLC
2036,GSK.L,LSE PLC
2037,HL.L,LSE PLC
2038,HMSO.L,LSE PLC
2039,HSBA.L,LSE PLC
2040,IAG.L,LSE PLC
2041,IHG.old,LSE PLC
2042,IMI.L,LSE PLC
2043,IMB.L,LSE PLC
2044,ITRK.L,LSE PLC
2045,ITV.L,LSE PLC
2046,JMAT.L,LSE PLC
2047,KGF.L,LSE PLC
2048,LAND.L,LSE PLC
2049,LGEN.L,LSE PLC
2050,LLOY.L,LSE PLC
2051,LSEG.L,LSE PLC
2052,MGGT.L,LSE PLC
